"Event_ID","Participant_ID","Exchange_Count","Turn_Count","Text_Prep","Text_Clean","emo_valence_b24","lex_freqlg10","sem_diversity","id","file","context","participants","laughter","short_pauses","medium_pauses","long_pauses","elongating","start_time","end_time","turn"
"Cuz","ALIN",4,8,"boyfriend","boyfriend",7.05,3.5664,1.40537006,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"mike","mike",5.01,3.7565,1.600637,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"he",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"is",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"the",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"one",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"that",NA,NA,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"stole","steal",1.55,3.4347,1.785697,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"hector's","hector's",5.01,NA,NA,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
"Cuz","ALIN",4,8,"radio","radio",5.7,3.5952,1.667388,11,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,1,2,0,0,"14350","18680",1
