x,y,gesture
8.072867,1.605923,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_9_Gesture_5.93_12.47
0.045909625,7.28445,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_1_Move_11.57_14.57
0.06941354,7.2960525,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_2_Move_15.60_18.43
0.038497273,7.3281083,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_3_Move_24.10_26.73
-0.07691482,7.3364034,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_4_Gesture_28.63_30.53
-0.43243933,6.7405095,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_5_Gesture_11.47_11.70
8.032564,1.6730685,103_203_24_1_20250113_152957_pasta_ground_clueGiver_cam02.mp4_segment_1_Gesture_2.37_2.93
8.083569,1.6099896,103_203_24_1_20250113_152957_pasta_ground_clueGiver_cam02.mp4_segment_2_Gesture_2.07_3.57
1.3526698,7.0257025,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_1_Gesture_4.73_4.87
2.1581423,2.3389423,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_2_Gesture_7.60_10.53
1.559774,7.1870947,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_3_Gesture_4.57_4.83
2.5188208,2.5631092,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_4_Gesture_6.37_10.53
5.33323,8.1132965,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_10_Gesture_20.93_22.47
7.3461957,8.623767,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_11_Gesture_24.80_29.37
5.17279,8.196255,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.23_6.03
4.7394047,8.289995,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_2_Gesture_9.93_10.33
5.3765917,8.212438,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_3_Gesture_11.83_29.27
6.040954,7.799071,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_4_Gesture_4.77_5.57
4.7127156,8.179339,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.33_8.57
5.1988153,8.12564,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_6_Gesture_9.63_9.97
5.0488334,8.137828,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_7_Gesture_12.53_16.40
5.310067,8.122776,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_8_Gesture_17.77_19.00
5.247976,8.077099,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_9_Gesture_20.00_20.13
1.8922962,3.1699343,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_1_Gesture_1.73_4.03
1.555702,3.4176128,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_2_Gesture_9.30_13.90
2.265302,2.4390042,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_3_Gesture_17.47_23.50
2.300826,2.3795295,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_4_Gesture_24.47_26.17
1.9254259,2.4915268,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_5_Gesture_27.47_29.60
1.8318179,2.72997,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_6_Gesture_2.13_3.33
1.8615845,2.4809244,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_7_Gesture_27.50_29.60
8.712435,7.1245193,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_10_Gesture_14.37_26.03
9.033626,9.573002,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_11_Gesture_28.93_29.73
9.109098,6.061326,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_12_Gesture_31.60_38.87
7.9053946,8.503664,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_13_Gesture_40.23_44.17
7.9665036,9.764431,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_14_Gesture_52.97_53.43
7.735182,9.79441,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_15_Gesture_54.00_56.30
8.236662,8.763241,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_16_Gesture_56.93_60.13
8.710148,7.0559483,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_17_Gesture_61.17_61.97
9.227359,5.6810923,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_18_Gesture_63.13_63.23
9.272095,5.790798,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_19_Gesture_67.40_67.57
7.989285,9.390543,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.00_7.10
8.857165,6.539579,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_2_Gesture_7.67_25.97
8.857432,6.216671,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_3_Gesture_31.97_44.00
7.7166276,9.847996,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_4_Gesture_54.17_54.87
8.193312,8.693883,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_5_Gesture_56.03_59.30
9.060157,6.211792,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_6_Gesture_59.83_69.93
7.9525256,9.555612,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_7_Gesture_4.97_6.77
9.285842,5.9815044,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_8_Gesture_7.37_8.50
9.463741,6.0382504,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_9_Gesture_9.57_13.73
1.820797,3.482104,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_10_Gesture_9.83_10.13
7.000219,10.349924,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_11_Gesture_47.23_47.47
2.6791747,2.7558002,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_12_Gesture_50.63_55.43
7.207341,10.186753,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_13_Gesture_59.87_69.97
2.4686153,2.6994076,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_1_Gesture_2.10_10.70
0.13314113,7.4398546,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_2_Move_28.87_30.53
